"","partido","microGap","Dimensão","Período"
"1","PT",0.0587301587301587,"Pró Estado V.S Pró Mercado","2021-2019"
"2","PT",0.163492063492063,"Pró Estado V.S Pró Mercado","2021-2019"
"3","PT",0.16984126984127,"Pró Estado V.S Pró Mercado","2021-2019"
"4","MDB",0.16984126984127,"Pró Estado V.S Pró Mercado","2021-2019"
"5","MDB",0.0523809523809523,"Pró Estado V.S Pró Mercado","2021-2019"
"6","PT",0.16984126984127,"Pró Estado V.S Pró Mercado","2021-2019"
"7","PSL",0.614285714285714,"Pró Estado V.S Pró Mercado","2021-2019"
"8","PT",0.16984126984127,"Pró Estado V.S Pró Mercado","2021-2019"
"9","PT",0.16984126984127,"Pró Estado V.S Pró Mercado","2021-2019"
"10","PT",0.16984126984127,"Pró Estado V.S Pró Mercado","2021-2019"
"11","PT",0.503174603174603,"Pró Estado V.S Pró Mercado","2021-2019"
"12","PT",0.274603174603175,"Pró Estado V.S Pró Mercado","2021-2019"
"13","PT",0.614285714285714,"Pró Estado V.S Pró Mercado","2021-2019"
"14","PT",0.274603174603175,"Pró Estado V.S Pró Mercado","2021-2019"
"15","MDB",0.274603174603175,"Pró Estado V.S Pró Mercado","2021-2019"
"16","PT",0.163492063492063,"Pró Estado V.S Pró Mercado","2021-2019"
"17","MDB",0.614285714285714,"Pró Estado V.S Pró Mercado","2021-2019"
"18","PT",0.385714285714286,"Pró Estado V.S Pró Mercado","2021-2019"
"19","PT",0.385714285714286,"Pró Estado V.S Pró Mercado","2021-2019"
"20","PT",0.614285714285714,"Pró Estado V.S Pró Mercado","2021-2019"
"21","PT",0.385714285714286,"Pró Estado V.S Pró Mercado","2021-2019"
"22","PT",0.614285714285714,"Pró Estado V.S Pró Mercado","2021-2019"
"23","PT",0.16984126984127,"Pró Estado V.S Pró Mercado","2021-2019"
"24","PSL",0.16984126984127,"Pró Estado V.S Pró Mercado","2021-2019"
"25","PT",0.16984126984127,"Pró Estado V.S Pró Mercado","2021-2019"
"26","PT",0.16984126984127,"Pró Estado V.S Pró Mercado","2021-2019"
"27","MDB",0.614285714285714,"Pró Estado V.S Pró Mercado","2021-2019"
"28","PSL",0.614285714285714,"Pró Estado V.S Pró Mercado","2021-2019"
"29","PT",0.0523809523809523,"Pró Estado V.S Pró Mercado","2021-2019"
"30","PSL",0.614285714285714,"Pró Estado V.S Pró Mercado","2021-2019"
"31","PT",0.503174603174603,"Pró Estado V.S Pró Mercado","2021-2019"
"32","PT",0.503174603174603,"Pró Estado V.S Pró Mercado","2021-2019"
