"","partido","microGap","Dimensão","Período"
"1","PSDB",0.414772727272727,"Pró Estado V.S Pró Mercado","2005-2006"
"2","PSDB",0.335227272727273,"Pró Estado V.S Pró Mercado","2005-2006"
"3","PT",0.335227272727273,"Pró Estado V.S Pró Mercado","2005-2006"
"4","PFL",0.335227272727273,"Pró Estado V.S Pró Mercado","2005-2006"
"5","PFL",0.0852272727272727,"Pró Estado V.S Pró Mercado","2005-2006"
"6","PT",0.414772727272727,"Pró Estado V.S Pró Mercado","2005-2006"
"7","PSDB",0.335227272727273,"Pró Estado V.S Pró Mercado","2005-2006"
"8","PT",0.414772727272727,"Pró Estado V.S Pró Mercado","2005-2006"
"9","PT",0.414772727272727,"Pró Estado V.S Pró Mercado","2005-2006"
"10","PSDB",0.414772727272727,"Pró Estado V.S Pró Mercado","2005-2006"
"11","PT",0.0852272727272727,"Pró Estado V.S Pró Mercado","2005-2006"
"12","PT",0.414772727272727,"Pró Estado V.S Pró Mercado","2005-2006"
"13","PMDB",0.585227272727273,"Pró Estado V.S Pró Mercado","2005-2006"
"14","PT",0.335227272727273,"Pró Estado V.S Pró Mercado","2005-2006"
"15","PSDB",0.0852272727272727,"Pró Estado V.S Pró Mercado","2005-2006"
"16","PMDB",0.0852272727272727,"Pró Estado V.S Pró Mercado","2005-2006"
"17","PT",0.0852272727272727,"Pró Estado V.S Pró Mercado","2005-2006"
"18","PSDB",0.585227272727273,"Pró Estado V.S Pró Mercado","2005-2006"
"19","PMDB",0.414772727272727,"Pró Estado V.S Pró Mercado","2005-2006"
"20","PT",0.164772727272727,"Pró Estado V.S Pró Mercado","2005-2006"
"21","PMDB",0.414772727272727,"Pró Estado V.S Pró Mercado","2005-2006"
"22","PT",0.414772727272727,"Pró Estado V.S Pró Mercado","2005-2006"
"23","PT",0.585227272727273,"Pró Estado V.S Pró Mercado","2005-2006"
"24","PT",0.0852272727272727,"Pró Estado V.S Pró Mercado","2005-2006"
"25","PT",0.585227272727273,"Pró Estado V.S Pró Mercado","2005-2006"
"26","PMDB",0.585227272727273,"Pró Estado V.S Pró Mercado","2005-2006"
"27","PT",0.335227272727273,"Pró Estado V.S Pró Mercado","2005-2006"
"28","PT",0.414772727272727,"Pró Estado V.S Pró Mercado","2005-2006"
"29","PDT",0.164772727272727,"Pró Estado V.S Pró Mercado","2005-2006"
"30","PT",0.414772727272727,"Pró Estado V.S Pró Mercado","2005-2006"
"31","PT",0.585227272727273,"Pró Estado V.S Pró Mercado","2005-2006"
"32","PT",0.335227272727273,"Pró Estado V.S Pró Mercado","2005-2006"
"33","PT",0.414772727272727,"Pró Estado V.S Pró Mercado","2005-2006"
"34","PT",0.585227272727273,"Pró Estado V.S Pró Mercado","2005-2006"
"35","PT",0.335227272727273,"Pró Estado V.S Pró Mercado","2005-2006"
"36","PT",0.585227272727273,"Pró Estado V.S Pró Mercado","2005-2006"
"37","PT",0.585227272727273,"Pró Estado V.S Pró Mercado","2005-2006"
"38","PT",0.335227272727273,"Pró Estado V.S Pró Mercado","2005-2006"
"39","PT",0.585227272727273,"Pró Estado V.S Pró Mercado","2005-2006"
"40","PTB",0.585227272727273,"Pró Estado V.S Pró Mercado","2005-2006"
"41","PSDB",0.585227272727273,"Pró Estado V.S Pró Mercado","2005-2006"
"42","PT",0.335227272727273,"Pró Estado V.S Pró Mercado","2005-2006"
"43","PMDB",0.585227272727273,"Pró Estado V.S Pró Mercado","2005-2006"
"44","PT",0.414772727272727,"Pró Estado V.S Pró Mercado","2005-2006"
"45","PT",0.0852272727272727,"Pró Estado V.S Pró Mercado","2005-2006"
